"fov","cell_ID","Area","AspectRatio","CenterX_local_px","CenterY_local_px","CenterX_global_px","CenterY_global_px","Width","Height","Mean.PanCK","Max.PanCK","Mean.CD68","Max.CD68","Mean.MembraneStain_B2M","Max.MembraneStain_B2M","Mean.CD45","Max.CD45","Mean.DAPI","Max.DAPI"
32,174,7223,0.86,4169,3821,155244.817108155,-38665.1113230387,115,134,158,1119,81,1698,1552,9573,314,2992,1037,4127
32,175,6648,0.84,3427,3824,154502.817108155,-38662.1113230387,92,109,1835,7386,80,561,1667,10098,91,859,1725,4275
32,176,6630,0.93,694,3823,151769.817108155,-38663.1113230387,100,107,2833,11995,85,920,1303,4747,62,661,1733,4295
32,177,6982,1,323,3822,151398.817108155,-38664.1113230387,106,106,4861,20679,148,1764,1196,5733,86,577,333,1406
32,178,3181,1.54,773,3836,151848.817108155,-38650.1113230387,88,57,1796,6302,59,366,832,3091,57,491,1477,3228
32,179,5789,1.75,3917,3824,154992.817108155,-38662.1113230387,135,77,2930,14749,77,488,1017,8387,68,888,1482,4079
32,180,5507,1.3,1067,3814,152142.817108155,-38672.1113230387,121,93,2707,17213,138,7979,791,8488,179,10794,1909,3894
32,181,7134,1.1,846,3815,151921.817108155,-38671.1113230387,108,98,2777,10334,65,854,1164,4348,59,773,1149,3672
32,182,7164,0.91,936,3807,152011.817108155,-38679.1113230387,101,111,1549,6994,91,5098,745,6141,95,6596,1034,2731
32,183,7368,1.18,1187,3805,152262.817108155,-38681.1113230387,104,88,3010,14724,67,390,1257,8484,61,857,1438,3816
32,184,10862,1.83,2299,3815,153374.817108155,-38671.1113230387,168,92,3736,23451,100,5915,2060,10304,103,7885,522,2316
32,185,5621,1.48,541,3810,151616.817108155,-38676.1113230387,114,77,2067,17451,66,353,1034,3511,54,493,1018,3250
32,186,5969,1.69,115,3807,151190.817108155,-38679.1113230387,115,68,3909,23038,145,1554,920,5017,93,789,2881,5081
32,187,5929,1.03,3224,3809,154299.817108155,-38677.1113230387,90,87,1547,11726,35,417,1759,8052,52,746,1116,3269
32,188,6238,0.99,3773,3798,154848.817108155,-38688.1113230387,99,100,1899,15165,57,2899,924,10428,57,6080,959,2536
32,189,5346,1.36,1482,3811,152557.817108155,-38675.1113230387,109,80,1131,11884,53,4652,745,5195,64,6494,843,2383
32,190,7191,0.93,3296,3794,154371.817108155,-38692.1113230387,104,112,2724,12948,48,4835,1343,7350,66,7488,1591,3745
32,191,9582,1.7,2468,3780,153543.817108155,-38706.1113230387,177,104,2982,11866,97,695,2721,26497,83,1033,1328,3782
32,192,9184,1.03,644,3783,151719.817108155,-38703.1113230387,118,115,2528,11760,67,539,1378,7033,55,768,1202,4210
32,193,4728,0.65,3707,3777,154782.817108155,-38709.1113230387,64,98,3632,16407,110,3203,3113,31939,99,6606,470,1557
32,194,4238,0.8,1102,3780,152177.817108155,-38706.1113230387,78,98,4484,22001,54,400,507,2724,59,1675,1635,3098
32,195,6847,1.33,759,3768,151834.817108155,-38718.1113230387,116,87,6941,31512,74,655,1949,6772,58,1322,1058,3605
32,196,6721,1.45,1974,3763,153049.817108155,-38723.1113230387,126,87,979,4397,370,2050,2283,6793,420,2184,1963,5334
32,197,8655,1.45,234,3773,151309.817108155,-38713.1113230387,138,95,2061,6814,164,2823,776,5282,145,5348,2364,4579
32,198,8472,1.03,3795,3749,154870.817108155,-38737.1113230387,119,115,2343,10342,96,2471,2008,11707,96,6352,1072,3417
32,199,4474,1.59,515,3767,151590.817108155,-38719.1113230387,102,64,1807,5933,58,412,821,3651,54,390,1302,3074
32,200,6323,1.04,877,3749,151952.817108155,-38737.1113230387,104,100,4712,19757,65,436,1548,9926,57,985,783,2954
32,201,10488,1.35,2296,3736,153371.817108155,-38750.1113230387,147,109,2505,16396,76,568,864,4571,71,770,1268,3056
32,202,7544,1.27,2418,3747,153493.817108155,-38739.1113230387,118,93,3139,39651,125,2215,1443,8586,97,784,1578,3979
32,203,7312,1.08,2637,3741,153712.817108155,-38745.1113230387,103,95,2756,23500,75,488,1626,5531,63,931,1395,4745
32,204,6519,1.52,376,3739,151451.817108155,-38747.1113230387,149,98,3085,17952,109,678,1035,5399,96,981,1673,4767
32,205,15322,1.03,2077,3725,153152.817108155,-38761.1113230387,154,150,2275,10817,82,4433,1633,23257,98,5815,1058,3422
32,206,4353,1.43,972,3756,152047.817108155,-38730.1113230387,93,65,4849,19228,53,871,446,1964,47,638,1235,3320
32,207,9087,2.13,135,3740,151210.817108155,-38746.1113230387,164,77,3477,17622,191,3214,1409,6587,113,5837,1373,3972
