cell_id	label	lab_color
f344_c654	dropped	grey30
f344_c655	dropped	grey30
f344_c656	Proliferating.B.Cell	orchid
f344_c657	dropped	grey30
f344_c658	dropped	grey30
f344_c659	dropped	grey30
f344_c66	dropped	grey30
f344_c660	dropped	grey30
f344_c661	Proliferating.B.Cell	orchid
f344_c662	Proliferating.B.Cell	orchid
f344_c663	dropped	grey30
f344_c664	dropped	grey30
f344_c665	Proliferating.B.Cell	orchid
f344_c666	dropped	grey30
f344_c667	dropped	grey30
f344_c668	dropped	grey30
f344_c669	dropped	grey30
f344_c67	Proliferating.B.Cell	orchid
f344_c670	dropped	grey30
f344_c671	Proliferating.B.Cell	orchid
f344_c672	dropped	grey30
f344_c673	Macrophages.1	blue
f344_c674	dropped	grey30
f344_c675	dropped	grey30
f344_c676	dropped	grey30
f344_c677	dropped	grey30
f344_c678	Proliferating.B.Cell	orchid
f344_c679	dropped	grey30
f344_c68	dropped	grey30
f344_c680	dropped	grey30
f344_c681	dropped	grey30
f344_c682	dropped	grey30
f344_c683	dropped	grey30
f344_c684	dropped	grey30
f344_c685	dropped	grey30
f344_c686	Proliferating.B.Cell	orchid
f344_c687	dropped	grey30
f344_c688	dropped	grey30
f344_c689	dropped	grey30
f344_c69	Macrophages.2	dodgerblue4
f344_c690	dropped	grey30
f344_c691	dropped	grey30
f344_c692	dropped	grey30
f344_c693	dropped	grey30
f344_c694	dropped	grey30
f344_c695	dropped	grey30
f344_c696	dropped	grey30
f344_c697	dropped	grey30
f344_c698	dropped	grey30
f344_c699	dropped	grey30
f344_c7	dropped	grey30
f344_c70	Proliferating.B.Cell	orchid
f344_c700	dropped	grey30
f344_c701	dropped	grey30
f344_c702	dropped	grey30
f344_c703	Proliferating.B.Cell	orchid
f344_c704	dropped	grey30
f344_c705	Proliferating.B.Cell	orchid
f344_c706	dropped	grey30
f344_c707	dropped	grey30
f344_c708	dropped	grey30
f344_c709	dropped	grey30
f344_c71	dropped	grey30
f344_c710	Proliferating.B.Cell	orchid
f344_c711	Proliferating.B.Cell	orchid
f344_c712	dropped	grey30
f344_c713	dropped	grey30
f344_c714	Proliferating.B.Cell	orchid
f344_c715	dropped	grey30
f344_c716	dropped	grey30
f344_c717	dropped	grey30
f344_c718	dropped	grey30
f344_c719	dropped	grey30
f344_c72	dropped	grey30
f344_c720	dropped	grey30
f344_c721	Proliferating.B.Cell	orchid
f344_c722	dropped	grey30
f344_c723	dropped	grey30
f344_c724	dropped	grey30
f344_c725	dropped	grey30
f344_c726	Proliferating.B.Cell	orchid
f344_c727	Proliferating.B.Cell	orchid
f344_c728	dropped	grey30
f344_c729	dropped	grey30
f344_c73	Proliferating.B.Cell	orchid
f344_c730	dropped	grey30
f344_c731	dropped	grey30
f344_c732	dropped	grey30
f344_c733	dropped	grey30
f344_c734	NK	darkolivegreen1
f344_c735	dropped	grey30
f344_c736	dropped	grey30
f344_c737	dropped	grey30
f344_c738	dropped	grey30
f344_c739	dropped	grey30
f344_c74	unknown	#c0c8cf
f344_c740	dropped	grey30
f344_c741	dropped	grey30
f344_c742	Proliferating.B.Cell	orchid
f344_c743	dropped	grey30
f344_c744	Proliferating.B.Cell	orchid
f344_c745	Proliferating.B.Cell	orchid
f344_c746	dropped	grey30
f344_c747	Proliferating.B.Cell	orchid
f344_c748	dropped	grey30
f344_c749	dropped	grey30
f344_c75	dropped	grey30
f344_c750	dropped	grey30
f344_c751	dropped	grey30
f344_c752	dropped	grey30
f344_c753	dropped	grey30
f344_c754	dropped	grey30
f344_c755	dropped	grey30
f344_c756	dropped	grey30
f344_c757	dropped	grey30
f344_c758	dropped	grey30
f344_c759	dropped	grey30
